Gép;Pozíció;Cikkszám;Model;Msd;Msd szint;Idõ
2;148;CH_CPCAP12192A;SPS;Nem;Nincs;-
2;149;CH_CPCAP12269A;SPS;Nem;Nincs;-
2;150;CH_CPIND00337A;SPS;Nem;Nincs;-
2;151;CH_CPICS03461A;SPS;Igen;2;1 év
2;153;CH_CPIND01272A;SPS;Nem;Nincs;-
2;154;CH_CPIND01498A;SPS;Nem;Nincs;-
2;155;CH_CPRES00897A;SPS;Nem;Nincs;-
2;201;CH_CPICS03282A;SPS;Nem;Nincs;-
2;202;CH_CPICS03283A;SPS;Nem;Nincs;-
2;203;CH_CPICS03394A;SPS;Nem;Nincs;-
2;204;CH_CPIND01097A;SPS;Nem;Nincs;-
2;205;CH_CPRES12456A;SPS;Nem;Nincs;-
2;206;CH_CPRES13369A;SPS;Nem;Nincs;-
2;207;CH_CPRES13912A;SPS;Nem;Nincs;-
2;208;CH_CPRES14743A;SPS;Nem;Nincs;-
2;209;CH_CPTRT00271A;SPS;Nem;Nincs;-
2;210;CH_CPRES15632A;SPS;Nem;Nincs;-
2;211;CH_CPRES15725A;SPS;Nem;Nincs;-
2;212;CH_CPRES16008A;SPS;Nem;Nincs;-
2;213;CH_CPRES16021A;SPS;Nem;Nincs;-
2;214;CH_CPRES16078A;SPS;Nem;Nincs;-
2;215;CH_CPRES16083A;SPS;Nem;Nincs;-
2;216;CH_CPRES16088A;SPS;Nem;Nincs;-
2;217;CH_CPRES16344A;SPS;Nem;Nincs;-
2;218;CH_CPRES16431A;SPS;Nem;Nincs;-
2;223;CH_CPXTA00125A;SPS;Nem;Nincs;-
2;224;CH_CPCAP03529A;SPS;Nem;Nincs;-
2;225;CH_CPCAP03774A;SPS;Nem;Nincs;-
2;226;CH_CPCAP10481A;SPS;Nem;Nincs;-
2;227;CH_CPCAP10566A;SPS;Nem;Nincs;-
2;228;CH_CPCAP10633A;SPS;Nem;Nincs;-
2;229;CH_CPCAP10672A;SPS;Nem;Nincs;-
2;230;CH_CPDIO00098A;SPS;Nem;Nincs;-
2;231;CH_CPDIO00178A;SPS;Nem;Nincs;-
2;232;CH_CPDIO00324A;SPS;Nem;Nincs;-
2;233;CH_CPDIO00489A;SPS;Nem;Nincs;-
2;234;CH_CPDIO00576A;SPS;Nem;Nincs;-
2;235;CH_CPFER00027A;SPS;Nem;Nincs;-
2;236;CH_CPFER00542A;SPS;Nem;Nincs;-
2;237;CH_CPFLT00095A;SPS;Nem;Nincs;-
2;238;CH_CPCAP10411A;SPS;Nem;Nincs;-
2;239;CH_CPCAP10445A;SPS;Nem;Nincs;-
2;240;CH_CPCAP10472A;SPS;Nem;Nincs;-
2;241;CH_CPCAP10858A;SPS;Nem;Nincs;-
2;242;CH_CPFER00046A;SPS;Nem;Nincs;-
2;243;CH_CPICS03038A;SPS;Igen;3;168 óra (7nap)
3;103;CH_CPIND01600A;SPS;Nem;Nincs;-
