Cikkszám;Alkatrész info;€;Oldal;Model;Beültetés db
CH_CPPCB00072E;PCB_SPS_MB_A_HW04;0;F2;CHSWPCB00116X_A9;
CH_CPCAP10537A;MCASU168SB7103KTNA01;0,0053;F2;CHSWPCB00116X_A9;2
CH_CPCAP10455A;MCASU105SB7103KFNA01;0,0011;F2;CHSWPCB00116X_A9;12
CH_CPCAP02201A;GCJ32EC71H106KA01L;0,5547;F2;CHSWPCB00116X_A9;4
CH_CPCAP02704A;GCJ21BR71H224KA01L;0,1052;F2;CHSWPCB00116X_A9;6
CH_CPCAP10445A;MCASU105SB7104KFNA01;0,0015;F2;CHSWPCB00116X_A9;8
CH_CPCAP10877A;MCASU105SCG102JFNA01;0,0017;F2;CHSWPCB00116X_A9;11
CH_CPCAP10555A;MCASL21GBB7106KTNA01;0,0267;F2;CHSWPCB00116X_A9;1
CH_CPCAP10417A;MCASE105SB7104KFNA01;0,0008;F2;CHSWPCB00116X_A9;2
CH_CPCAP03591A;GCJ31CC71H475KA01L;0,0443;F2;CHSWPCB00116X_A9;5
CH_CPCAP02853A;GCJ188R71H103KA01D;0,0653;F2;CHSWPCB00116X_A9;4
CH_CPCAP10566A;MCASE21GSB7225MTNA01;0,0101;F2;CHSWPCB00116X_A9;1
CH_CPCAP10463A;MCASU105SB7222KFNA01;0,0011;F2;CHSWPCB00116X_A9;1
CH_CPCAP10557A;MCASL21GSB7475KTNA01;0,0094;F2;CHSWPCB00116X_A9;1
CH_CPCAP10633A;MCAST31LAB7106MTNA01;0,0226;F2;CHSWPCB00116X_A9;1
CH_CPCAP10411A;MCASL105SB7104KFNA01;0,001;F2;CHSWPCB00116X_A9;3
CH_CPCAP02874A;GCJ188R71H104KA12D;0,0808;F2;CHSWPCB00116X_A9;1
CH_CPCAP10481A;MCASL168SB7105KTNA01;0,0035;F2;CHSWPCB00116X_A9;2
CH_CPCAP10407A;MCASJ105SB7104KFNA01;0,0013;F2;CHSWPCB00116X_A9;1
CH_CPCAP10104A;GRT1885C1H332JA02D;0,0049;F2;CHSWPCB00116X_A9;2
CH_CPCAP10012A;GRT155R71H473KE01D;0,0019;F2;CHSWPCB00116X_A9;3
CH_CPCAP10857A;MCASU105SCG220JFNA01;0,0069;F2;CHSWPCB00116X_A9;2
CH_CPCAP10014A;GRT155R71A474KE01D;0,0028;F2;CHSWPCB00116X_A9;2
CH_CPCAP10478A;MCASJ168SB7225MTNB25;0,005;F2;CHSWPCB00116X_A9;2
CH_CPCAP03781A;GRT21BC81A226ME13L;0,0457;F2;CHSWPCB00116X_A9;2
CH_CPCAP10865A;MCASU105SCG101JFNA01;0,0013;F2;CHSWPCB00116X_A9;2
CH_CPCAP03774A;GCJ21BR71H105KA01L;0,01;F2;CHSWPCB00116X_A9;2
CH_CPCAP10487A;MCASE168SB7105KTNA01;0,0027;F2;CHSWPCB00116X_A9;7
CH_CPCAP12152A;GCM1555C1H100FA16D;0,0049;F2;CHSWPCB00116X_A9;2
CH_CPDIO00398A;SZ1SMB24CAT3G;0,3362;F2;CHSWPCB00116X_A9;2
CH_CPDIO00414A;BAT54L,315;0,0146;F2;CHSWPCB00116X_A9;2
CH_CPDIO00585A;1PS10SB82;0,078;F2;CHSWPCB00116X_A9;2
CH_CPDIO00506A;BZT52C5V6TQ-7-F;0,0001;F2;CHSWPCB00116X_A9;1
CH_CPPRO00034A;PESD18VF1BL-QYL;0,0856;F2;CHSWPCB00116X_A9;2
CH_CPDIO00178A;BAT54W,115;0,014;F2;CHSWPCB00116X_A9;1
CH_CPDIO00098A;BAT6405E6327HTSA1;0,093;F2;CHSWPCB00116X_A9;1
CH_CPDIO00324A;BZT52C16Q-7-F;0,0132;F2;CHSWPCB00116X_A9;2
CH_CPFER00542A;BLM18PG121SH1D;0,0033;F2;CHSWPCB00116X_A9;2
CH_CPIND00347A;DLW43SH510XK2L;0,1452;F2;CHSWPCB00116X_A9;1
CH_CPIND01498A;DLW21SZ900HQ2L;0,0485;F2;CHSWPCB00116X_A9;1
CH_CPPRO00135A;PESD2CANFD24V-TR;0,039;F2;CHSWPCB00116X_A9;1
CH_CPTRT00310A;SQJ147ELP-T1_GE3;0,304;F2;CHSWPCB00116X_A9;1
CH_CPTRT00655A;BC857BW-QF;0,0115;F2;CHSWPCB00116X_A9;1
CH_CPTRT00654A;BC847BW-QX;0,0253;F2;CHSWPCB00116X_A9;5
CH_CPTRT00271A;NX3008NBKW,115;0,027;F2;CHSWPCB00116X_A9;1
CH_CPRES16350A;MR04X562 JTL;0,0007;F2;CHSWPCB00116X_A9;2
CH_CPRES15574A;MR04X000 PTL;0,0007;F2;CHSWPCB00116X_A9;12
CH_CPRES14559A;MR08X4703FTL;0,0017;F2;CHSWPCB00116X_A9;1
CH_CPRES15551A;MR06X124 JTL;0,0008;F2;CHSWPCB00116X_A9;1
CH_CPRES16380A;MR04X104 JTL;0,0007;F2;CHSWPCB00116X_A9;6
CH_CPRES16284A;MR04X100 JTL;0,0007;F2;CHSWPCB00116X_A9;1
CH_CPRES16332A;MR04X102 JTL;0,0007;F2;CHSWPCB00116X_A9;3
CH_CPRES16088A;MR04X3302FTL;0,0008;F2;CHSWPCB00116X_A9;3
CH_CPRES15993A;MR04X4701FTL;0,0008;F2;CHSWPCB00116X_A9;9
CH_CPRES16372A;MR04X473 JTL;0,0007;F2;CHSWPCB00116X_A9;11
CH_CPRES16049A;MR04X1502FTL;0,0008;F2;CHSWPCB00116X_A9;2
CH_CPRES16087A;MR04X3242FTL;0,0008;F2;CHSWPCB00116X_A9;1
CH_CPRES16031A;MR04X1002FTL;0,0008;F2;CHSWPCB00116X_A9;11
CH_CPRES12593A;MR12X1001FTL;0,0028;F2;CHSWPCB00116X_A9;1
CH_CPRES16027A;MR04X9101FTL;0,0008;F2;CHSWPCB00116X_A9;1
CH_CPRES16063A;MR04X2002FTL;0,0008;F2;CHSWPCB00116X_A9;1
CH_CPRES05750A;WF04H1802BTLJ;0,012;F2;CHSWPCB00116X_A9;1
CH_CPRES05751A;WF04H3301BTLJ;0,012;F2;CHSWPCB00116X_A9;1
CH_CPRES16078A;MR04X2702FTL;0,0008;F2;CHSWPCB00116X_A9;2
CH_CPRES16008A;MR04X6201FTL;0,0008;F2;CHSWPCB00116X_A9;1
CH_CPRES16308A;MR04X101 JTL;0,0007;F2;CHSWPCB00116X_A9;2
CH_CPRES13912A;MR08X000 PTL;0,0014;F2;CHSWPCB00116X_A9;1
CH_CPRES15888A;MR04X5600FTL;0,0008;F2;CHSWPCB00116X_A9;2
CH_CPRES05765A;WR04X3301FTLJ;0,0008;F2;CHSWPCB00116X_A9;2
CH_CPRES05767A;MR18X3400FTL;0,056;F2;CHSWPCB00116X_A9;2
CH_CPRES15789A;MR04X75R0FTL;0,0008;F2;CHSWPCB00116X_A9;1
CH_CPRES16349A;MR04X512 JTL;0,0007;F2;CHSWPCB00116X_A9;2
CH_CPRES15907A;MR04X8200FTL;0,0008;F2;CHSWPCB00116X_A9;1
CH_CPRES05436A;NCU15WB473E6SRC;0,0742;F2;CHSWPCB00116X_A9;1
CH_CPRES16336A;MR04X152 JTL;0,0007;F2;CHSWPCB00116X_A9;2
CH_CPICS03280A;TPS7B8150QKVURQ1;0,2162;F2;CHSWPCB00116X_A9;1
CH_CPICS02990A;TPS7B7701QPWPRQ1;0,188;F2;CHSWPCB00116X_A9;1
CH_CPICS03315A;MIMXRT1175AVM8A;12,27;F2;CHSWPCB00116X_A9;1
CH_CPICS03239A;SN74LVC1G08QDBVRQ1;0,078;F2;CHSWPCB00116X_A9;1
CH_CPICS03339A;EM639165BM-6BH;1,109;F2;CHSWPCB00116X_A9;2
CH_CPCAP10850A;MCASU105SCG070DFNA01;0,003;F2;CHSWPCB00116X_A9;2
CH_CPCAP12012A;GCM0335C1H4R7CA16D;0;F2;CHSWPCB00116X_A9;2
CH_CPRES15803A;MR04X1000FTL;0,0009;F2;CHSWPCB00116X_A9;4
CH_CPRES15811A;MR04X1200FTL;0,0008;F2;CHSWPCB00116X_A9;3
CH_CPRES15725A;MR04X22R0FTL;0,0009;F2;CHSWPCB00116X_A9;1
CH_CPICS03266A;TCAN1043ADMTRQ1;0,2812;F2;CHSWPCB00116X_A9;1
CH_CPXTA00125A;AM24000318;0;F2;CHSWPCB00116X_A9;1
CH_CPCAP10563A;MCASE21GAB7475KTNA01;0;F2;CHSWPCB00116X_A9;5
CH_CPRES15821A;MR04X1500FTL;0,0008;F2;CHSWPCB00116X_A9;1
CH_CPICS03440A;6PAIC3104TRHBRQ1;0,8719;F2;CHSWPCB00116X_A9;1
CH_CPDIO00489A;BZT52C24Q-7-F;0;F2;CHSWPCB00116X_A9;1
CH_M705GRN360K1VM;SENJU (LEAD FREE) SOLDER PASTE;72,57;F2;CHSWPCB00116X_A9;0
CH_CPCAP02857A;GCM1555C1H4R7BA16D;0;F2;CHSWPCB00116X_A9;1
CHS00116E_F2_D1P;SPS IC PROGRAMMER PROCESS 1 R36.2;;F2;CHSWPCB00116X_A9;1
CH_CPSHI00099A;BMI-S-209-F-20-R;0,141;F1;CHSWPCB00116X_A9;1
CH_CPCAP10455A;MCASU105SB7103KFNA01;0,0011;F1;CHSWPCB00116X_A9;43
CH_CPCAP10445A;MCASU105SB7104KFNA01;0,0015;F1;CHSWPCB00116X_A9;1
CH_CPCAP10877A;MCASU105SCG102JFNA01;0,0017;F1;CHSWPCB00116X_A9;25
CH_CPCAP04174A;RAHV1680M1GDE7002;0,1758;F1;CHSWPCB00116X_A9;1
CH_CPCAP10555A;MCASL21GBB7106KTNA01;0,0267;F1;CHSWPCB00116X_A9;10
CH_CPCAP10061A;GRT0335C1E100JA02D;0,0008;F1;CHSWPCB00116X_A9;3
CH_CPCAP10417A;MCASE105SB7104KFNA01;0,0008;F1;CHSWPCB00116X_A9;15
CH_CPCAP03591A;GCJ31CC71H475KA01L;0,0443;F1;CHSWPCB00116X_A9;6
CH_CPCAP02853A;GCJ188R71H103KA01D;0,0653;F1;CHSWPCB00116X_A9;4
CH_CPCAP10566A;MCASE21GSB7225MTNA01;0,0101;F1;CHSWPCB00116X_A9;3
CH_CPCAP10672A;MCASL32MSB7226KPNA01;0,0812;F1;CHSWPCB00116X_A9;5
CH_CPCAP10859A;MCASU105SCG330JFNA01;0,0012;F1;CHSWPCB00116X_A9;1
CH_CPCAP10463A;MCASU105SB7222KFNA01;0,0011;F1;CHSWPCB00116X_A9;1
CH_CPCAP10411A;MCASL105SB7104KFNA01;0,001;F1;CHSWPCB00116X_A9;3
CH_CPCAP10481A;MCASL168SB7105KTNA01;0,0035;F1;CHSWPCB00116X_A9;4
CH_CPCAP10407A;MCASJ105SB7104KFNA01;0,0013;F1;CHSWPCB00116X_A9;3
CH_CPCAP10857A;MCASU105SCG220JFNA01;0,0069;F1;CHSWPCB00116X_A9;2
CH_CPCAP10478A;MCASJ168SB7225MTNB25;0,005;F1;CHSWPCB00116X_A9;11
CH_CPCAP03781A;GRT21BC81A226ME13L;0,0457;F1;CHSWPCB00116X_A9;1
CH_CPCAP03774A;GCJ21BR71H105KA01L;0,01;F1;CHSWPCB00116X_A9;6
CH_CPCAP10487A;MCASE168SB7105KTNA01;0,0027;F1;CHSWPCB00116X_A9;4
CH_CPCAP03529A;GCM188C71C684KA64D;0,0117;F1;CHSWPCB00116X_A9;1
CH_CPCAP10489A;MCASE168SB7474KTNA01;0,0046;F1;CHSWPCB00116X_A9;1
CH_CPCAP12152A;GCM1555C1H100FA16D;0,0049;F1;CHSWPCB00116X_A9;2
CH_CPDIO00414A;BAT54L,315;0,0146;F1;CHSWPCB00116X_A9;1
CH_CPFER00040A;BLM15AG121SH1D;0;F1;CHSWPCB00116X_A9;3
CH_CPFER00542A;BLM18PG121SH1D;0,0033;F1;CHSWPCB00116X_A9;1
CH_CPCON02250A;1600137602;1,27;F1;CHSWPCB00116X_A9;1
CH_CPIND01499A;VCHA075D-4R7MS6;0,2444;F1;CHSWPCB00116X_A9;1
CH_CPIND01520A;VCHA075D-8R2MS6;0,2444;F1;CHSWPCB00116X_A9;1
CH_CPIND01080A;LQG15HZ4N3C02D;0,0775;F1;CHSWPCB00116X_A9;2
CH_CPTRT00310A;SQJ147ELP-T1_GE3;0,304;F1;CHSWPCB00116X_A9;1
CH_CPTRT00654A;BC847BW-QX;0,0253;F1;CHSWPCB00116X_A9;1
CH_CPRES15574A;MR04X000 PTL;0,0007;F1;CHSWPCB00116X_A9;22
CH_CPRES16380A;MR04X104 JTL;0,0007;F1;CHSWPCB00116X_A9;3
CH_CPRES16332A;MR04X102 JTL;0,0007;F1;CHSWPCB00116X_A9;2
CH_CPRES16088A;MR04X3302FTL;0,0008;F1;CHSWPCB00116X_A9;2
CH_CPRES15993A;MR04X4701FTL;0,0008;F1;CHSWPCB00116X_A9;1
CH_CPRES15969A;MR04X3001FTL;0,0008;F1;CHSWPCB00116X_A9;1
CH_CPRES16372A;MR04X473 JTL;0,0007;F1;CHSWPCB00116X_A9;5
CH_CPRES16049A;MR04X1502FTL;0,0008;F1;CHSWPCB00116X_A9;2
CH_CPRES16031A;MR04X1002FTL;0,0008;F1;CHSWPCB00116X_A9;10
CH_CPRES16077A;MR04X2672FTL;0,0008;F1;CHSWPCB00116X_A9;2
CH_CPRES05748A;WF04H4022BTLJ;0,012;F1;CHSWPCB00116X_A9;1
CH_CPRES16409A;WF04H1003BTLJ;0,012;F1;CHSWPCB00116X_A9;1
CH_CPRES16008A;MR04X6201FTL;0,0008;F1;CHSWPCB00116X_A9;1
CH_CPRES16083A;MR04X3002FTL;0,0008;F1;CHSWPCB00116X_A9;1
CH_CPRES16344A;MR04X332 JTL;0,0007;F1;CHSWPCB00116X_A9;2
CH_CPRES12138A;MR02X220 JAL;0,0035;F1;CHSWPCB00116X_A9;1
CH_CPRES12202A;MR02X103 JAL;0,0035;F1;CHSWPCB00116X_A9;5
CH_CPRES16021A;MR04X8201FTL;0,0008;F1;CHSWPCB00116X_A9;1
CH_CPRES15907A;MR04X8200FTL;0,0008;F1;CHSWPCB00116X_A9;2
CH_CPRES05436A;NCU15WB473E6SRC;0,0742;F1;CHSWPCB00116X_A9;2
CH_CPICS03282A;TPS628501QDRLRQ1;0,1711;F1;CHSWPCB00116X_A9;1
CH_CPICS03283A;TPS628502QDRLRQ1;0,1842;F1;CHSWPCB00116X_A9;1
CH_CPICS03289A;LM61435AASQRJRRQ1;0,2726;F1;CHSWPCB00116X_A9;1
CH_CPICS02792A;MFI343S00177-SAMPLES;0;F1;CHSWPCB00116X_A9;1
CH_CPICS03143A;TPA6304QDDVRQ1;1,4944;F1;CHSWPCB00116X_A9;1
CH_CPICS02794A;BL6450CQRVMR;1,3628;F1;CHSWPCB00116X_A9;1
CH_CPFLT00095A;B39242B4360P810;0,269;F1;CHSWPCB00116X_A9;1
CH_CPICS02953A;CAXC8T245QRHLRQ1;0,2538;F1;CHSWPCB00116X_A9;1
CH_CPCAP04171A;EMZL350ARA561MJA0G;0,1367;F1;CHSWPCB00116X_A9;1
CH_CPIND01918A;DFE322520FD-1R0M=P2;0,102;F1;CHSWPCB00116X_A9;2
CH_CPRES15803A;MR04X1000FTL;0,0009;F1;CHSWPCB00116X_A9;11
CH_CPRES05749A;WF04H8062BTLJ;0;F1;CHSWPCB00116X_A9;1
CH_CPRES16425A;WF04H1302BTLJ;0;F1;CHSWPCB00116X_A9;1
CH_CPRES16431A;WF04H1502BTLJ;0;F1;CHSWPCB00116X_A9;1
CH_CPRES05752A;WF04H4302BTLJ;0,024;F1;CHSWPCB00116X_A9;1
CH_CPSHI00105A;67SLM050100050PI01;0,125;F1;CHSWPCB00116X_A9;1
CH_CPCAP10563A;MCASE21GAB7475KTNA01;0;F1;CHSWPCB00116X_A9;4
CH_CPCAP10415A;MCASE105SB7224KFNA01;0,0024;F1;CHSWPCB00116X_A9;1
CH_CPIND01622A;VCUW053T-3R3MS5;0,15;F1;CHSWPCB00116X_A9;4
CH_CPICS03394A;SN74AXC1T45QDRYRQ1;0,0644;F1;CHSWPCB00116X_A9;1
CH_CPXOS00127A;AK26003001;0;F1;CHSWPCB00116X_A9;1
CH_CPXOS00123A;NZ2016SHB_32.768KHZ_END6180A;0;F1;CHSWPCB00116X_A9;1
CH_M705GRN360K1VM;SENJU (LEAD FREE) SOLDER PASTE;72,57;F1;CHSWPCB00116X_A9;0
CH_CPRES15632A;MR04W3R30FTL;0,0013;F1;CHSWPCB00116X_A9;4
CH_CPRES16284A;MR04X100 JTL;0,0007;F1;CHSWPCB00116X_A9;4
CH_CPCAP10472A;MCASU105SB7471MFNA01;0,0013;F1;CHSWPCB00116X_A9;4
CH_CPPCB00072E;PCB_SPS_MB_A_HW04;0;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10537A;MCASU168SB7103KTNA01;0,0053;F2;CHSHWPCB00148X_D9;2
CH_CPCAP10455A;MCASU105SB7103KFNA01;0,0011;F2;CHSHWPCB00148X_D9;12
CH_CPCAP02201A;GCJ32EC71H106KA01L;0,5547;F2;CHSHWPCB00148X_D9;4
CH_CPCAP02704A;GCJ21BR71H224KA01L;0,1052;F2;CHSHWPCB00148X_D9;6
CH_CPCAP10445A;MCASU105SB7104KFNA01;0,0015;F2;CHSHWPCB00148X_D9;8
CH_CPCAP10877A;MCASU105SCG102JFNA01;0,0017;F2;CHSHWPCB00148X_D9;11
CH_CPCAP10555A;MCASL21GBB7106KTNA01;0,0267;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10417A;MCASE105SB7104KFNA01;0,0008;F2;CHSHWPCB00148X_D9;2
CH_CPCAP03591A;GCJ31CC71H475KA01L;0,0443;F2;CHSHWPCB00148X_D9;5
CH_CPCAP02853A;GCJ188R71H103KA01D;0,0653;F2;CHSHWPCB00148X_D9;4
CH_CPCAP10566A;MCASE21GSB7225MTNA01;0,0101;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10463A;MCASU105SB7222KFNA01;0,0011;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10557A;MCASL21GSB7475KTNA01;0,0094;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10633A;MCAST31LAB7106MTNA01;0,0226;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10411A;MCASL105SB7104KFNA01;0,001;F2;CHSHWPCB00148X_D9;3
CH_CPCAP10009A;GRT155R71H472KE01D;0,0013;F2;CHSHWPCB00148X_D9;1
CH_CPCAP02874A;GCJ188R71H104KA12D;0,0808;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10481A;MCASL168SB7105KTNA01;0,0035;F2;CHSHWPCB00148X_D9;2
CH_CPCAP10407A;MCASJ105SB7104KFNA01;0,0013;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10104A;GRT1885C1H332JA02D;0,0049;F2;CHSHWPCB00148X_D9;2
CH_CPCAP10012A;GRT155R71H473KE01D;0,0019;F2;CHSHWPCB00148X_D9;3
CH_CPCAP10857A;MCASU105SCG220JFNA01;0,0069;F2;CHSHWPCB00148X_D9;2
CH_CPCAP10014A;GRT155R71A474KE01D;0,0028;F2;CHSHWPCB00148X_D9;2
CH_CPCAP10478A;MCASJ168SB7225MTNB25;0,005;F2;CHSHWPCB00148X_D9;2
CH_CPCAP03781A;GRT21BC81A226ME13L;0,0457;F2;CHSHWPCB00148X_D9;2
CH_CPCAP10865A;MCASU105SCG101JFNA01;0,0013;F2;CHSHWPCB00148X_D9;2
CH_CPCAP03774A;GCJ21BR71H105KA01L;0,01;F2;CHSHWPCB00148X_D9;2
CH_CPCAP10487A;MCASE168SB7105KTNA01;0,0027;F2;CHSHWPCB00148X_D9;7
CH_CPCAP12152A;GCM1555C1H100FA16D;0,0049;F2;CHSHWPCB00148X_D9;2
CH_CPDIO00398A;SZ1SMB24CAT3G;0,3362;F2;CHSHWPCB00148X_D9;2
CH_CPDIO00414A;BAT54L,315;0,0146;F2;CHSHWPCB00148X_D9;2
CH_CPDIO00585A;1PS10SB82;0,078;F2;CHSHWPCB00148X_D9;2
CH_CPDIO00506A;BZT52C5V6TQ-7-F;0,0001;F2;CHSHWPCB00148X_D9;1
CH_CPPRO00034A;PESD18VF1BL-QYL;0,0856;F2;CHSHWPCB00148X_D9;2
CH_CPDIO00178A;BAT54W,115;0,014;F2;CHSHWPCB00148X_D9;1
CH_CPDIO00098A;BAT6405E6327HTSA1;0,093;F2;CHSHWPCB00148X_D9;1
CH_CPDIO00324A;BZT52C16Q-7-F;0,0132;F2;CHSHWPCB00148X_D9;2
CH_CPFER00542A;BLM18PG121SH1D;0,0033;F2;CHSHWPCB00148X_D9;2
CH_CPIND00347A;DLW43SH510XK2L;0,1452;F2;CHSHWPCB00148X_D9;1
CH_CPIND01498A;DLW21SZ900HQ2L;0,0485;F2;CHSHWPCB00148X_D9;1
CH_CPPRO00135A;PESD2CANFD24V-TR;0,039;F2;CHSHWPCB00148X_D9;1
CH_CPTRT00310A;SQJ147ELP-T1_GE3;0,304;F2;CHSHWPCB00148X_D9;1
CH_CPTRT00655A;BC857BW-QF;0,0115;F2;CHSHWPCB00148X_D9;1
CH_CPTRT00654A;BC847BW-QX;0,0253;F2;CHSHWPCB00148X_D9;5
CH_CPTRT00271A;NX3008NBKW,115;0,027;F2;CHSHWPCB00148X_D9;1
CH_CPRES16350A;MR04X562 JTL;0,0007;F2;CHSHWPCB00148X_D9;2
CH_CPRES15574A;MR04X000 PTL;0,0007;F2;CHSHWPCB00148X_D9;12
CH_CPRES14559A;MR08X4703FTL;0,0017;F2;CHSHWPCB00148X_D9;1
CH_CPRES15551A;MR06X124 JTL;0,0008;F2;CHSHWPCB00148X_D9;1
CH_CPRES16380A;MR04X104 JTL;0,0007;F2;CHSHWPCB00148X_D9;6
CH_CPRES16284A;MR04X100 JTL;0,0007;F2;CHSHWPCB00148X_D9;1
CH_CPRES16332A;MR04X102 JTL;0,0007;F2;CHSHWPCB00148X_D9;3
CH_CPRES16088A;MR04X3302FTL;0,0008;F2;CHSHWPCB00148X_D9;3
CH_CPRES15993A;MR04X4701FTL;0,0008;F2;CHSHWPCB00148X_D9;9
CH_CPRES16372A;MR04X473 JTL;0,0007;F2;CHSHWPCB00148X_D9;11
CH_CPRES16049A;MR04X1502FTL;0,0008;F2;CHSHWPCB00148X_D9;2
CH_CPRES16087A;MR04X3242FTL;0,0008;F2;CHSHWPCB00148X_D9;1
CH_CPRES16031A;MR04X1002FTL;0,0008;F2;CHSHWPCB00148X_D9;11
CH_CPRES12593A;MR12X1001FTL;0,0028;F2;CHSHWPCB00148X_D9;1
CH_CPRES16027A;MR04X9101FTL;0,0008;F2;CHSHWPCB00148X_D9;1
CH_CPRES16063A;MR04X2002FTL;0,0008;F2;CHSHWPCB00148X_D9;1
CH_CPRES05750A;WF04H1802BTLJ;0,012;F2;CHSHWPCB00148X_D9;1
CH_CPRES05751A;WF04H3301BTLJ;0,012;F2;CHSHWPCB00148X_D9;1
CH_CPRES16078A;MR04X2702FTL;0,0008;F2;CHSHWPCB00148X_D9;2
CH_CPRES16008A;MR04X6201FTL;0,0008;F2;CHSHWPCB00148X_D9;1
CH_CPRES16308A;MR04X101 JTL;0,0007;F2;CHSHWPCB00148X_D9;2
CH_CPRES12456A;MR12X62R0FTL;0,0028;F2;CHSHWPCB00148X_D9;2
CH_CPRES13912A;MR08X000 PTL;0,0014;F2;CHSHWPCB00148X_D9;1
CH_CPRES15888A;MR04X5600FTL;0,0008;F2;CHSHWPCB00148X_D9;2
CH_CPRES05765A;WR04X3301FTLJ;0,0008;F2;CHSHWPCB00148X_D9;2
CH_CPRES05767A;MR18X3400FTL;0,056;F2;CHSHWPCB00148X_D9;2
CH_CPRES15821A;MR04X1500FTL;0,0008;F2;CHSHWPCB00148X_D9;2
CH_CPRES16349A;MR04X512 JTL;0,0007;F2;CHSHWPCB00148X_D9;2
CH_CPRES15907A;MR04X8200FTL;0,0008;F2;CHSHWPCB00148X_D9;1
CH_CPRES05436A;NCU15WB473E6SRC;0,0742;F2;CHSHWPCB00148X_D9;1
CH_CPRES16336A;MR04X152 JTL;0,0007;F2;CHSHWPCB00148X_D9;2
CH_CPICS03280A;TPS7B8150QKVURQ1;0,2162;F2;CHSHWPCB00148X_D9;1
CH_CPICS02990A;TPS7B7701QPWPRQ1;0,188;F2;CHSHWPCB00148X_D9;1
CH_CPICS03315A;MIMXRT1175AVM8A;12,27;F2;CHSHWPCB00148X_D9;1
CH_CPICS03239A;SN74LVC1G08QDBVRQ1;0,078;F2;CHSHWPCB00148X_D9;1
CH_CPICS03339A;EM639165BM-6BH;1,109;F2;CHSHWPCB00148X_D9;2
CH_CPCAP10850A;MCASU105SCG070DFNA01;0,003;F2;CHSHWPCB00148X_D9;2
CH_CPCAP12012A;GCM0335C1H4R7CA16D;0;F2;CHSHWPCB00148X_D9;2
CH_CPRES15803A;MR04X1000FTL;0,0009;F2;CHSHWPCB00148X_D9;4
CH_CPRES15811A;MR04X1200FTL;0,0008;F2;CHSHWPCB00148X_D9;3
CH_CPRES15725A;MR04X22R0FTL;0,0009;F2;CHSHWPCB00148X_D9;1
CH_CPICS03266A;TCAN1043ADMTRQ1;0,2812;F2;CHSHWPCB00148X_D9;1
CH_CPXTA00125A;AM24000318;0;F2;CHSHWPCB00148X_D9;1
CH_CPCAP10563A;MCASE21GAB7475KTNA01;0;F2;CHSHWPCB00148X_D9;5
CH_CPICS03440A;6PAIC3104TRHBRQ1;0,8719;F2;CHSHWPCB00148X_D9;1
CH_CPDIO00489A;BZT52C24Q-7-F;0;F2;CHSHWPCB00148X_D9;1
CH_M705GRN360K1VM;SENJU (LEAD FREE) SOLDER PASTE;72,57;F2;CHSHWPCB00148X_D9;0
CH_CPCAP02857A;GCM1555C1H4R7BA16D;0;F2;CHSHWPCB00148X_D9;1
CHS00148C_F2_D1P;SPS IC PROGRAMMER PROCESS 1 R36.2;;F2;CHSHWPCB00148X_D9;1
CH_CPSHI00099A;BMI-S-209-F-20-R;0,141;F1;CHSHWPCB00148X_D9;1
CH_CPCAP10455A;MCASU105SB7103KFNA01;0,0011;F1;CHSHWPCB00148X_D9;43
CH_CPCAP10445A;MCASU105SB7104KFNA01;0,0015;F1;CHSHWPCB00148X_D9;1
CH_CPCAP10877A;MCASU105SCG102JFNA01;0,0017;F1;CHSHWPCB00148X_D9;25
CH_CPCAP04174A;RAHV1680M1GDE7002;0,1758;F1;CHSHWPCB00148X_D9;1
CH_CPCAP10555A;MCASL21GBB7106KTNA01;0,0267;F1;CHSHWPCB00148X_D9;10
CH_CPCAP10061A;GRT0335C1E100JA02D;0,0008;F1;CHSHWPCB00148X_D9;3
CH_CPCAP10417A;MCASE105SB7104KFNA01;0,0008;F1;CHSHWPCB00148X_D9;15
CH_CPCAP03591A;GCJ31CC71H475KA01L;0,0443;F1;CHSHWPCB00148X_D9;6
CH_CPCAP02853A;GCJ188R71H103KA01D;0,0653;F1;CHSHWPCB00148X_D9;4
CH_CPCAP10566A;MCASE21GSB7225MTNA01;0,0101;F1;CHSHWPCB00148X_D9;3
CH_CPCAP10672A;MCASL32MSB7226KPNA01;0,0812;F1;CHSHWPCB00148X_D9;5
CH_CPCAP10859A;MCASU105SCG330JFNA01;0,0012;F1;CHSHWPCB00148X_D9;1
CH_CPCAP10463A;MCASU105SB7222KFNA01;0,0011;F1;CHSHWPCB00148X_D9;1
CH_CPCAP10411A;MCASL105SB7104KFNA01;0,001;F1;CHSHWPCB00148X_D9;3
CH_CPCAP10481A;MCASL168SB7105KTNA01;0,0035;F1;CHSHWPCB00148X_D9;4
CH_CPCAP10407A;MCASJ105SB7104KFNA01;0,0013;F1;CHSHWPCB00148X_D9;3
CH_CPCAP10857A;MCASU105SCG220JFNA01;0,0069;F1;CHSHWPCB00148X_D9;2
